TimeUS,rpm1,rpm2,timestamp
1118726729.0,-1.0,-1.0,1668051291.04575
1118751702.0,-1.0,-1.0,1668051291.070723
1118776813.0,-1.0,-1.0,1668051291.095834
1118801445.0,-1.0,-1.0,1668051291.120466
1118826823.0,-1.0,-1.0,1668051291.145844
1118851724.0,-1.0,-1.0,1668051291.170745
1118876989.0,-1.0,-1.0,1668051291.1960099
1118901562.0,-1.0,-1.0,1668051291.220583
1118926716.0,-1.0,-1.0,1668051291.245737
1118951704.0,-1.0,-1.0,1668051291.270725
1118976892.0,-1.0,-1.0,1668051291.295913
1119001673.0,-1.0,-1.0,1668051291.320694
1119026713.0,-1.0,-1.0,1668051291.345734
1119051680.0,-1.0,-1.0,1668051291.370701
1119076741.0,-1.0,-1.0,1668051291.395762
1119101504.0,-1.0,-1.0,1668051291.420525
1119126655.0,-1.0,-1.0,1668051291.445676
1119151685.0,-1.0,-1.0,1668051291.470706
1119177175.0,-1.0,-1.0,1668051291.496196
1119201551.0,-1.0,-1.0,1668051291.520572
1119226815.0,-1.0,-1.0,1668051291.545836
1119251569.0,-1.0,-1.0,1668051291.57059
1119276801.0,-1.0,-1.0,1668051291.595822
1119301384.0,-1.0,-1.0,1668051291.620405
1119326819.0,-1.0,-1.0,1668051291.64584
1119351756.0,-1.0,-1.0,1668051291.670777
1119376947.0,-1.0,-1.0,1668051291.695968
1119401563.0,-1.0,-1.0,1668051291.720584
1119426818.0,-1.0,-1.0,1668051291.7458389
1119451642.0,-1.0,-1.0,1668051291.770663
1119476870.0,-1.0,-1.0,1668051291.795891
1119501778.0,-1.0,-1.0,1668051291.8207989
1119526841.0,-1.0,-1.0,1668051291.845862
1119551787.0,-1.0,-1.0,1668051291.870808
1119576951.0,-1.0,-1.0,1668051291.895972
1119601503.0,-1.0,-1.0,1668051291.920524
1119626679.0,-1.0,-1.0,1668051291.9457
1119651634.0,-1.0,-1.0,1668051291.970655
1119676902.0,-1.0,-1.0,1668051291.995923
1119701677.0,-1.0,-1.0,1668051292.020698
1119726639.0,-1.0,-1.0,1668051292.04566
1119751698.0,-1.0,-1.0,1668051292.070719
1119777041.0,-1.0,-1.0,1668051292.096062
1119801518.0,-1.0,-1.0,1668051292.120539
1119826771.0,-1.0,-1.0,1668051292.145792
1119851634.0,-1.0,-1.0,1668051292.170655
1119876932.0,-1.0,-1.0,1668051292.195953
1119901424.0,-1.0,-1.0,1668051292.220445
1119926677.0,-1.0,-1.0,1668051292.245698
1119951670.0,-1.0,-1.0,1668051292.270691
1119976729.0,-1.0,-1.0,1668051292.29575
1120001847.0,-1.0,-1.0,1668051292.320868
1120026712.0,-1.0,-1.0,1668051292.345733
1120051777.0,-1.0,-1.0,1668051292.3707979
1120076917.0,-1.0,-1.0,1668051292.395938
1120101691.0,-1.0,-1.0,1668051292.420712
1120126797.0,-1.0,-1.0,1668051292.445818
1120151617.0,-1.0,-1.0,1668051292.470638
1120176977.0,-1.0,-1.0,1668051292.495998
1120201528.0,-1.0,-1.0,1668051292.520549
1120226894.0,-1.0,-1.0,1668051292.545915
1120251608.0,-1.0,-1.0,1668051292.570629
1120276877.0,-1.0,-1.0,1668051292.595898
1120301452.0,-1.0,-1.0,1668051292.620473
1120326678.0,-1.0,-1.0,1668051292.645699
1120351583.0,-1.0,-1.0,1668051292.670604
1120376779.0,-1.0,-1.0,1668051292.6958
1120401451.0,-1.0,-1.0,1668051292.720472
1120426657.0,-1.0,-1.0,1668051292.745678
1120451674.0,-1.0,-1.0,1668051292.770695
1120476911.0,-1.0,-1.0,1668051292.795932
1120501775.0,-1.0,-1.0,1668051292.820796
1120526653.0,-1.0,-1.0,1668051292.845674
1120551655.0,-1.0,-1.0,1668051292.870676
1120576760.0,-1.0,-1.0,1668051292.895781
1120601404.0,-1.0,-1.0,1668051292.920425
1120626821.0,-1.0,-1.0,1668051292.945842
1120651576.0,-1.0,-1.0,1668051292.970597
1120676907.0,-1.0,-1.0,1668051292.995928
1120701572.0,-1.0,-1.0,1668051293.020593
1120726617.0,-1.0,-1.0,1668051293.045638
1120751778.0,-1.0,-1.0,1668051293.0707989
1120776916.0,-1.0,-1.0,1668051293.095937
1120801435.0,-1.0,-1.0,1668051293.120456
1120826672.0,-1.0,-1.0,1668051293.145693
