TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv,timestamp
742712374.0,2.0,491.0,17407.0,46306.0,51157.0,48992.0,1668050915.031395
743714900.0,2.0,491.0,17407.0,45876.0,51138.0,48552.0,1668050916.033921
744716958.0,2.0,494.0,17552.0,45943.0,51170.0,48617.0,1668050917.035979
745717044.0,2.0,491.0,17407.0,45667.0,50962.0,48351.0,1668050918.036065
746719819.0,2.0,493.0,17445.0,46456.0,51120.0,48864.0,1668050919.03884
747722494.0,2.0,491.0,17407.0,45810.0,51083.0,48249.0,1668050920.0415149
748724981.0,2.0,492.0,17419.0,46354.0,51042.0,48769.0,1668050921.044002
749725077.0,2.0,493.0,17503.0,46379.0,51150.0,48794.0,1668050922.044098
750727126.0,2.0,491.0,17407.0,45792.0,51035.0,48472.0,1668050923.0461469
751729933.0,2.0,496.0,17516.0,46139.0,51134.0,48696.0,1668050924.048954
752732626.0,2.0,493.0,17455.0,46328.0,51156.0,48864.0,1668050925.051647
753734899.0,2.0,492.0,17436.0,46117.0,51113.0,48569.0,1668050926.05392
754737064.0,2.0,495.0,17581.0,46030.0,51063.0,48653.0,1668050927.0560849
755739846.0,2.0,496.0,17634.0,46144.0,51129.0,48744.0,1668050928.058867
756742463.0,2.0,496.0,17552.0,45823.0,50664.0,48235.0,1668050929.061484
757744826.0,2.0,493.0,17465.0,46464.0,51095.0,48829.0,1668050930.063847
758747150.0,2.0,493.0,17481.0,45755.0,51091.0,48305.0,1668050931.066171
759749764.0,2.0,494.0,17532.0,45841.0,51143.0,48486.0,1668050932.068785
760752340.0,2.0,493.0,17475.0,46104.0,51168.0,48712.0,1668050933.071361
761754876.0,2.0,495.0,17513.0,46223.0,51118.0,48758.0,1668050934.073897
762756987.0,2.0,493.0,17455.0,46006.0,51163.0,48520.0,1668050935.076008
763757140.0,2.0,494.0,17498.0,45982.0,51148.0,48618.0,1668050936.076161
764759818.0,2.0,494.0,17552.0,46083.0,51176.0,48732.0,1668050937.078839
765762438.0,2.0,491.0,17407.0,45711.0,50973.0,48201.0,1668050938.081459
766764845.0,2.0,494.0,17474.0,45907.0,51025.0,48575.0,1668050939.083866
767767116.0,2.0,491.0,17407.0,45825.0,51079.0,48355.0,1668050940.086137
768769760.0,2.0,491.0,17407.0,46369.0,51057.0,48715.0,1668050941.0887809
769772679.0,2.0,494.0,17532.0,45761.0,51068.0,48275.0,1668050942.0917
770775065.0,2.0,492.0,17436.0,45870.0,51033.0,48644.0,1668050943.094086
771777148.0,2.0,493.0,17445.0,45905.0,51156.0,48368.0,1668050944.096169
772780186.0,2.0,502.0,17819.0,46285.0,51143.0,48833.0,1668050945.099207
773782756.0,2.0,518.0,18353.0,45741.0,51170.0,48490.0,1668050946.101777
774784885.0,2.0,494.0,17552.0,46221.0,51129.0,48677.0,1668050947.103906
775787306.0,2.0,492.0,17436.0,46228.0,51156.0,48735.0,1668050948.106327
776789696.0,2.0,494.0,17484.0,46348.0,51017.0,48621.0,1668050949.108717
777792478.0,2.0,491.0,17407.0,46069.0,51107.0,48607.0,1668050950.111499
778794967.0,2.0,492.0,17436.0,46255.0,51166.0,48788.0,1668050951.113988
779797145.0,2.0,495.0,17571.0,45830.0,51068.0,48397.0,1668050952.1161659
780800016.0,2.0,493.0,17493.0,46027.0,51084.0,48577.0,1668050953.119037
781802399.0,2.0,494.0,17474.0,45883.0,51093.0,48606.0,1668050954.12142
782804851.0,2.0,492.0,17436.0,45931.0,51168.0,48388.0,1668050955.123872
783807362.0,2.0,492.0,17436.0,45752.0,51028.0,48537.0,1668050956.126383
784809865.0,2.0,495.0,17571.0,45789.0,51157.0,48557.0,1668050957.128886
785812381.0,2.0,491.0,17407.0,45956.0,51013.0,48497.0,1668050958.131402
786814916.0,2.0,493.0,17445.0,45591.0,51164.0,48434.0,1668050959.133937
787817228.0,2.0,492.0,17446.0,46480.0,51111.0,48933.0,1668050960.136249
788819762.0,2.0,494.0,17566.0,45753.0,51122.0,48287.0,1668050961.138783
789822419.0,2.0,492.0,17436.0,46348.0,51176.0,48838.0,1668050962.14144
790824850.0,2.0,494.0,17532.0,46209.0,51166.0,48789.0,1668050963.143871
791825128.0,2.0,494.0,17474.0,46092.0,51012.0,48487.0,1668050964.144149
