TimeUS,chan,txp,rxp,rxdp,flags,timestamp
903597069.0,1.0,17180.0,888.0,0.0,6.0,1668051075.91609
904599743.0,1.0,17281.0,889.0,0.0,6.0,1668051076.9187639
905602454.0,1.0,17383.0,890.0,0.0,6.0,1668051077.921475
906605009.0,1.0,17484.0,891.0,0.0,6.0,1668051078.92403
907607025.0,1.0,17585.0,892.0,0.0,6.0,1668051079.926046
908609493.0,1.0,17690.0,893.0,0.0,6.0,1668051080.928514
909613139.0,1.0,17791.0,894.0,0.0,6.0,1668051081.93216
910615748.0,1.0,17894.0,895.0,0.0,6.0,1668051082.934769
911617016.0,1.0,17995.0,896.0,0.0,6.0,1668051083.936037
912620119.0,1.0,18096.0,897.0,0.0,6.0,1668051084.93914
913622418.0,1.0,18197.0,898.0,0.0,6.0,1668051085.941439
914624872.0,1.0,18298.0,899.0,0.0,6.0,1668051086.943893
915626907.0,1.0,18399.0,900.0,0.0,6.0,1668051087.945928
916627078.0,1.0,18501.0,901.0,0.0,6.0,1668051088.946099
917629756.0,1.0,18602.0,902.0,0.0,6.0,1668051089.948777
918632320.0,1.0,18705.0,903.0,0.0,6.0,1668051090.951341
919634786.0,1.0,18806.0,904.0,0.0,6.0,1668051091.9538069
920636968.0,1.0,18908.0,905.0,0.0,6.0,1668051092.955989
921639679.0,1.0,19010.0,906.0,0.0,6.0,1668051093.9587
922642180.0,1.0,19111.0,907.0,0.0,6.0,1668051094.961201
923644778.0,1.0,19212.0,908.0,0.0,6.0,1668051095.963799
924646950.0,1.0,19313.0,909.0,0.0,6.0,1668051096.965971
925647160.0,1.0,19414.0,910.0,0.0,6.0,1668051097.966181
926649690.0,1.0,19515.0,911.0,0.0,6.0,1668051098.968711
927652420.0,1.0,19617.0,912.0,0.0,6.0,1668051099.971441
928654838.0,1.0,19718.0,913.0,0.0,6.0,1668051100.973859
929657054.0,1.0,19819.0,914.0,0.0,6.0,1668051101.976075
930659691.0,1.0,19921.0,915.0,0.0,6.0,1668051102.978712
931662251.0,1.0,20022.0,916.0,0.0,6.0,1668051103.981272
932664774.0,1.0,20124.0,917.0,0.0,6.0,1668051104.983795
933666994.0,1.0,20225.0,918.0,0.0,6.0,1668051105.986015
934669721.0,1.0,20335.0,919.0,0.0,6.0,1668051106.9887419
935672351.0,1.0,20436.0,920.0,0.0,6.0,1668051107.9913719
936675588.0,1.0,20537.0,921.0,0.0,6.0,1668051108.9946089
937677014.0,1.0,20638.0,922.0,0.0,6.0,1668051109.996035
938679795.0,1.0,20744.0,923.0,0.0,6.0,1668051110.998816
939682917.0,1.0,20848.0,924.0,0.0,6.0,1668051112.001938
940684762.0,1.0,20954.0,925.0,0.0,6.0,1668051113.003783
941687059.0,1.0,21055.0,926.0,0.0,6.0,1668051114.00608
942689674.0,1.0,21156.0,927.0,0.0,6.0,1668051115.008695
943692101.0,1.0,21258.0,928.0,0.0,6.0,1668051116.011122
944694804.0,1.0,21359.0,929.0,0.0,6.0,1668051117.013825
945697102.0,1.0,21460.0,930.0,0.0,6.0,1668051118.016123
946699949.0,1.0,21561.0,931.0,0.0,6.0,1668051119.01897
947702114.0,1.0,21662.0,932.0,0.0,6.0,1668051120.021135
948704796.0,1.0,21763.0,933.0,0.0,6.0,1668051121.023817
949706916.0,1.0,21867.0,934.0,0.0,6.0,1668051122.025937
950708725.0,1.0,21974.0,935.0,0.0,6.0,1668051123.027746
951711420.0,1.0,22075.0,936.0,0.0,6.0,1668051124.030441
