TimeUS,Name,Value,timestamp
220922788,ATC_RAT_RLL_FLTT,4.0,1668050393.241809
220922813,ATC_RAT_RLL_FLTE,0.0,1668050393.241834
220922838,ATC_RAT_RLL_FLTD,4.0,1668050393.241859
220922864,ATC_RAT_PIT_P,0.17800000309944153,1668050393.241885
220922988,ATC_RAT_PIT_I,0.17800000309944153,1668050393.242009
220923040,ATC_RAT_PIT_D,0.009999999776482582,1668050393.242061
220923067,ATC_RAT_PIT_FF,0.0,1668050393.242088
220923093,ATC_RAT_PIT_IMAX,0.5,1668050393.242114
220923160,ATC_RAT_PIT_FLTT,4.0,1668050393.242181
220923226,ATC_RAT_PIT_FLTE,0.0,1668050393.242247
220923255,ATC_RAT_PIT_FLTD,4.0,1668050393.242276
220923287,ATC_RAT_YAW_P,0.4000000059604645,1668050393.242308
220923390,ATC_RAT_YAW_I,0.03999999910593033,1668050393.242411
220923438,ATC_RAT_YAW_D,0.004999999888241291,1668050393.242459
220923466,ATC_RAT_YAW_FF,0.0,1668050393.242487
220923495,ATC_RAT_YAW_IMAX,0.5,1668050393.242516
220923524,ATC_RAT_YAW_FLTT,10.0,1668050393.242545
220923595,ATC_RAT_YAW_FLTE,2.0,1668050393.242616
220923625,ATC_RAT_YAW_FLTD,0.0,1668050393.242646
220923654,ATC_THR_MIX_MIN,0.10000000149011612,1668050393.242675
220923683,ATC_THR_MIX_MAX,0.5,1668050393.242704
220923712,ATC_THR_MIX_MAN,0.10000000149011612,1668050393.242733
220923799,PSC_ACC_XY_FILT,2.0,1668050393.24282
220923816,PSC_POSZ_P,1.0,1668050393.242837
220923834,PSC_VELZ_P,3.0,1668050393.242855
220923853,PSC_ACCZ_P,0.20000000298023224,1668050393.242874
220923872,PSC_ACCZ_I,0.4000000059604645,1668050393.242893
220924018,PSC_ACCZ_D,0.0,1668050393.243039
220924040,PSC_ACCZ_FF,0.0,1668050393.243061
220924061,PSC_ACCZ_IMAX,800.0,1668050393.243082
220924081,PSC_ACCZ_FLTT,0.0,1668050393.243102
220924101,PSC_ACCZ_FLTE,20.0,1668050393.243122
220924162,PSC_ACCZ_FLTD,0.0,1668050393.243183
220924224,PSC_POSXY_P,1.0,1668050393.243245
220924247,PSC_VELXY_P,2.0,1668050393.243268
220924270,PSC_VELXY_I,1.0,1668050393.243291
220924293,PSC_VELXY_IMAX,1000.0,1668050393.243314
220924395,PSC_VELXY_FILT,5.0,1668050393.243416
220924437,PSC_VELXY_D,0.5,1668050393.243458
220924461,PSC_VELXY_D_FILT,5.0,1668050393.2434819
220924484,PSC_ANGLE_MAX,0.0,1668050393.243505
220924504,SR0_RAW_SENS,0.0,1668050393.243525
220924519,SR0_EXT_STAT,0.0,1668050393.24354
220924534,SR0_RC_CHAN,0.0,1668050393.243555
220924595,SR0_RAW_CTRL,0.0,1668050393.243616
220924612,SR0_POSITION,0.0,1668050393.243633
220924627,SR0_EXTRA1,0.0,1668050393.243648
220924643,SR0_EXTRA2,0.0,1668050393.243664
220924659,SR0_EXTRA3,0.0,1668050393.24368
220924675,SR0_PARAMS,0.0,1668050393.243696
220924691,SR0_ADSB,0.0,1668050393.243712
220924707,SR1_RAW_SENS,2.0,1668050393.243728
220924784,SR1_EXT_STAT,2.0,1668050393.243805
220924800,SR1_RC_CHAN,2.0,1668050393.243821
220924816,SR1_RAW_CTRL,0.0,1668050393.2438369
220924831,SR1_POSITION,3.0,1668050393.243852
220924847,SR1_EXTRA1,10.0,1668050393.2438679
220924863,SR1_EXTRA2,10.0,1668050393.243884
220924914,SR1_EXTRA3,3.0,1668050393.2439349
220924994,SR1_PARAMS,0.0,1668050393.244015
220925037,SR1_ADSB,0.0,1668050393.244058
220925054,SR2_RAW_SENS,0.0,1668050393.244075
220925069,SR2_EXT_STAT,0.0,1668050393.24409
220925084,SR2_RC_CHAN,0.0,1668050393.244105
220925099,SR2_RAW_CTRL,0.0,1668050393.24412
220925115,SR2_POSITION,0.0,1668050393.244136
220925172,SR2_EXTRA1,0.0,1668050393.244193
220925230,SR2_EXTRA2,0.0,1668050393.244251
220925247,SR2_EXTRA3,0.0,1668050393.244268
220925263,SR2_PARAMS,0.0,1668050393.244284
220925279,SR2_ADSB,0.0,1668050393.2443
