TimeUS,Active,NumPts,MaxPts,Action,N,E,D,timestamp
841400088.0,1.0,50.0,300.0,2.0,-4.8892974853515625,-59.760536193847656,-9.149545669555664,1668051013.719109
841400095.0,1.0,50.0,300.0,2.0,-4.368497371673584,-61.899173736572266,-9.232714653015137,1668051013.719116
841400102.0,1.0,50.0,300.0,2.0,-1.9298263788223267,-58.71095657348633,-9.196426391601562,1668051013.719123
841400153.0,1.0,50.0,300.0,2.0,0.1092120036482811,-64.21833038330078,-9.665521621704102,1668051013.719174
841400224.0,1.0,50.0,300.0,2.0,-1.7513492107391357,-66.67802429199219,-9.616063117980957,1668051013.719245
841400273.0,1.0,50.0,300.0,2.0,-4.332557678222656,-65.92678833007812,-9.605653762817383,1668051013.719294
842052223.0,1.0,19.0,300.0,0.0,-8.552440643310547,-64.61634063720703,-9.578304290771484,1668051014.371244
842716960.0,1.0,20.0,300.0,0.0,-10.950587272644043,-63.96851348876953,-9.573719024658203,1668051015.035981
843382121.0,1.0,21.0,300.0,0.0,-13.316816329956055,-63.39259338378906,-9.586358070373535,1668051015.701142
844379711.0,1.0,22.0,300.0,0.0,-16.093339920043945,-62.824581146240234,-9.602313995361328,1668051016.698732
845376978.0,1.0,23.0,300.0,0.0,-18.107038497924805,-62.059326171875,-9.61579418182373,1668051017.695999
846374763.0,1.0,24.0,300.0,0.0,-19.892494201660156,-60.65135955810547,-9.627238273620605,1668051018.693784
847372249.0,1.0,25.0,300.0,0.0,-21.996702194213867,-58.65333938598633,-9.63537311553955,1668051019.6912699
848037018.0,1.0,26.0,300.0,0.0,-23.654682159423828,-57.49303436279297,-9.64881706237793,1668051020.356039
849366882.0,1.0,27.0,300.0,0.0,-25.677684783935547,-57.133724212646484,-9.674867630004883,1668051021.685903
851694863.0,1.0,28.0,300.0,0.0,-24.3238525390625,-58.68098449707031,-9.768362045288086,1668051024.013884
852692224.0,1.0,29.0,300.0,0.0,-21.67254066467285,-58.43650817871094,-9.835907936096191,1668051025.011245
853356887.0,1.0,30.0,300.0,0.0,-19.31015396118164,-58.09114456176758,-9.860840797424316,1668051025.675908
854022193.0,1.0,31.0,300.0,0.0,-16.516923904418945,-57.67605209350586,-9.856734275817871,1668051026.341214
854686873.0,1.0,32.0,300.0,0.0,-13.333226203918457,-57.31696701049805,-9.872400283813477,1668051027.005894
855352190.0,1.0,33.0,300.0,0.0,-10.054289817810059,-57.31415939331055,-9.89194393157959,1668051027.671211
856016887.0,1.0,34.0,300.0,0.0,-6.805315017700195,-57.676544189453125,-9.843221664428711,1668051028.335908
856682634.0,1.0,35.0,300.0,0.0,-3.8537633419036865,-58.17765808105469,-9.820076942443848,1668051029.001655
857346924.0,1.0,36.0,300.0,0.0,-1.255074143409729,-58.596012115478516,-9.740045547485352,1668051029.665945
858012293.0,1.0,37.0,300.0,0.0,0.9251953959465027,-58.9314079284668,-9.693512916564941,1668051030.331314
859009706.0,1.0,38.0,300.0,0.0,3.152167797088623,-59.4780387878418,-9.62741756439209,1668051031.328727
860339679.0,1.0,39.0,300.0,0.0,5.455591201782227,-60.220428466796875,-9.640461921691895,1668051032.6587
863332373.0,1.0,40.0,300.0,0.0,5.939877986907959,-62.391258239746094,-9.667540550231934,1668051035.651394
865326961.0,1.0,41.0,300.0,0.0,6.083174705505371,-64.42288970947266,-10.416916847229004,1668051037.645982
867322215.0,1.0,42.0,300.0,0.0,6.114083766937256,-66.69898986816406,-10.79412841796875,1668051039.641236
871644781.0,1.0,43.0,300.0,0.0,4.653011322021484,-65.31327819824219,-10.81620979309082,1668051043.963802
874304956.0,1.0,44.0,300.0,0.0,3.3150930404663086,-67.22528839111328,-10.80755615234375,1668051046.623977
875302262.0,1.0,45.0,300.0,0.0,2.672680377960205,-69.63272094726562,-10.849308967590332,1668051047.621283
876299784.0,1.0,46.0,300.0,0.0,1.3904222249984741,-71.83097839355469,-10.876788139343262,1668051048.618805
877962187.0,1.0,47.0,300.0,0.0,0.4144047498703003,-73.7464828491211,-10.806580543518066,1668051050.281208
879292207.0,1.0,48.0,300.0,0.0,1.0391120910644531,-76.52080535888672,-10.87913703918457,1668051051.611228
880289655.0,1.0,49.0,300.0,0.0,0.8791102170944214,-79.08892822265625,-10.872248649597168,1668051052.608676
883282898.0,1.0,50.0,300.0,0.0,-1.1402735710144043,-77.96516418457031,-10.882244110107422,1668051055.601919
884279692.0,1.0,51.0,300.0,0.0,-1.1336342096328735,-74.92516326904297,-10.94918155670166,1668051056.598713
884944722.0,1.0,52.0,300.0,0.0,-0.9868980050086975,-72.88018798828125,-10.9658784866333,1668051057.263743
885609672.0,1.0,53.0,300.0,0.0,-0.9140315651893616,-70.7891845703125,-10.912053108215332,1668051057.928693
886275660.0,1.0,54.0,300.0,0.0,-0.9626133441925049,-68.53752136230469,-10.88797664642334,1668051058.594681
886939617.0,1.0,55.0,300.0,0.0,-1.0751358270645142,-66.17254638671875,-10.90876293182373,1668051059.258638
887604809.0,1.0,56.0,300.0,0.0,-1.2340331077575684,-63.81357955932617,-10.90911865234375,1668051059.92383
888269834.0,1.0,57.0,300.0,0.0,-1.4600253105163574,-61.63376998901367,-10.918243408203125,1668051060.588855
