TimeUS,SetP,NxtP,TotP,SPD,CLat,CLng,CAlt,Opt1,timestamp
780582820.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050952.901841
781582960.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050953.9019809
782582851.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050954.901872
783582925.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050955.901946
784583137.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050956.902158
785582994.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050957.902015
786582902.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050958.901923
787582891.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050959.901912
788583100.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050960.902121
789582906.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050961.901927
790583102.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050962.902123
791583010.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050963.902031
792582922.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050964.901943
793582882.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050965.901903
794582950.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050966.901971
795582883.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050967.9019039
796583019.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050968.90204
797583115.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050969.902136
798582859.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050970.90188
799582858.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050971.901879
800583128.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050972.902149
801582898.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050973.901919
802582926.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050974.901947
803582909.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050975.90193
804582897.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050976.901918
805582966.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050977.901987
806583100.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050978.902121
807582900.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050979.901921
