TimeUS,SpyTT,SpyCR,SpyTR,PmpPos,PowF,PowR,AREA,Out,OutFlw,timestamp
373886944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050546.205965
374886919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050547.20594
375886968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050548.205989
376887050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050549.206071
377886908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050550.205929
378887151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050551.206172
379886963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050552.2059839
380887176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050553.206197
381886982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050554.206003
382887026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050555.206047
383887143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050556.206164
384887042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050557.206063
385887013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050558.206034
386887167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050559.206188
387887265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050560.206286
388887072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050561.206093
389887260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050562.206281
390887193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050563.206214
391887293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050564.206314
392887297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050565.206318
393887126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050566.206147
394887158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050567.206179
395887198.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050568.206219
396887468.0,0.0,0.0,2500.0,0.0,40.0,40.0,12.688336372375488,0.0,0.0,1668050569.206489
397887247.0,0.0,0.0,2500.0,0.0,40.0,40.0,27.459352493286133,1.0,1.0,1668050570.206268
398889809.0,0.0,0.0,2500.0,0.0,0.0,0.0,31.964353561401367,1.0,1.0,1668050571.2088299
399889624.0,0.0,0.0,2500.0,0.0,0.0,0.0,31.964353561401367,1.0,1.0,1668050572.208645
400889890.0,0.0,0.0,2500.0,0.0,0.0,0.0,33.13991928100586,1.0,1.0,1668050573.208911
401889312.0,0.0,0.0,2500.0,0.0,0.0,0.0,33.38084411621094,1.0,1.0,1668050574.208333
402889609.0,0.0,0.0,2500.0,0.0,0.0,0.0,33.38084411621094,1.0,1.0,1668050575.20863
403889493.0,0.0,0.0,2500.0,0.0,0.0,0.0,34.7640266418457,1.0,1.0,1668050576.208514
404889410.0,0.0,0.0,2500.0,0.0,0.0,0.0,36.02838897705078,1.0,1.0,1668050577.208431
405889325.0,0.0,0.0,2500.0,0.0,0.0,0.0,36.02838897705078,1.0,1.0,1668050578.208346
406889337.0,0.0,0.0,2500.0,0.0,0.0,0.0,40.507568359375,1.0,1.0,1668050579.208358
407889435.0,0.0,0.0,2657.0,0.0,0.0,0.0,43.06147384643555,1.0,1.0,1668050580.208456
408889623.0,0.0,0.0,2822.0,0.0,0.0,0.0,43.06147384643555,1.0,1.0,1668050581.208644
409889564.0,0.0,0.0,2847.0,0.0,0.0,0.0,49.11079025268555,1.0,1.0,1668050582.208585
410889218.0,0.0,0.0,2851.0,0.0,0.0,0.0,55.186546325683594,1.0,1.0,1668050583.208239
411889353.0,0.0,0.0,2835.0,0.0,0.0,0.0,58.23844909667969,1.0,1.0,1668050584.208374
412889552.0,0.0,0.0,2801.0,0.0,0.0,0.0,58.23844909667969,1.0,1.0,1668050585.208573
413889397.0,0.0,0.0,2742.0,0.0,0.0,0.0,64.20523071289062,1.0,1.0,1668050586.208418
414889360.0,0.0,0.0,2500.0,0.0,0.0,0.0,67.11387634277344,1.0,1.0,1668050587.208381
415889527.0,0.0,0.0,2500.0,0.0,0.0,0.0,67.11387634277344,1.0,1.0,1668050588.208548
416889397.0,0.0,0.0,2500.0,0.0,0.0,0.0,69.90604400634766,1.0,1.0,1668050589.208418
417889349.0,0.0,0.0,2500.0,0.0,0.0,0.0,70.73072814941406,1.0,1.0,1668050590.20837
418889608.0,0.0,0.0,2500.0,0.0,0.0,0.0,70.73072814941406,1.0,1.0,1668050591.208629
419889993.0,0.0,0.0,2500.0,0.0,0.0,0.0,73.52527618408203,1.0,1.0,1668050592.209014
