TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,timestamp
239898856.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.217877
239999029.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.31805
240098845.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.417866
240198870.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.517891
240298855.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.617876
240398993.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.718014
240499059.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.81808
240599186.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050412.918207
240698900.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.017921
240799122.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.118143
240898942.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.217963
240999014.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.318035
241099014.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.418035
241198875.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.517896
241298915.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.617936
241399084.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.718105
241499284.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.818305
241598868.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050413.9178889
241698853.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.017874
241798869.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.11789
241898851.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.217872
241999036.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.318057
242098969.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.41799
242198919.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.51794
242298900.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.6179209
242399039.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.71806
242499128.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.818149
242598813.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050414.917834
242699080.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.018101
242799084.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.118105
242899117.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.218138
242999081.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.318102
243098926.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.417947
243198884.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.517905
243298985.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.618006
243398868.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050415.717889
246511122.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050418.830143
246610862.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050418.929883
246710985.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.030006
246810765.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.129786
246910857.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.229878
247010745.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.329766
247110801.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.429822
247210903.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.529924
247310795.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.629816
247410685.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.729706
247510712.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.829733
247610738.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050419.929759
247710933.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.029954
247810767.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.129788
247910764.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.229785
248010713.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.329734
248110838.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.429859
248211095.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.530116
248310726.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.629747
248410851.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.729872
248510732.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.829753
248610768.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050420.929789
248710963.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050421.029984
248810763.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050421.1297839
248910693.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050421.229714
249010855.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050421.329876
249110825.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050421.429846
