TimeUS,AThrs,WThrs,MaxP,MotM,IsA,IsW,Cnt,timestamp
479189382.0,1828.0,1787.0,1446.86474609375,1.0,0.0,0.0,0.0,1668050651.508403
479289263.0,1828.0,1787.0,1446.69873046875,1.0,0.0,0.0,0.0,1668050651.608284
479389178.0,1828.0,1787.0,1446.6614990234375,1.0,0.0,0.0,0.0,1668050651.708199
479489241.0,1828.0,1787.0,1446.7491455078125,1.0,0.0,0.0,0.0,1668050651.8082619
479589191.0,1828.0,1787.0,1446.8958740234375,1.0,0.0,0.0,0.0,1668050651.908212
479689334.0,1828.0,1787.0,1446.99169921875,1.0,0.0,0.0,0.0,1668050652.008355
479789408.0,1828.0,1787.0,1447.19287109375,1.0,0.0,0.0,0.0,1668050652.108429
479889369.0,1828.0,1787.0,1447.5888671875,1.0,0.0,0.0,0.0,1668050652.20839
479989229.0,1828.0,1787.0,1447.9725341796875,1.0,0.0,0.0,0.0,1668050652.30825
480089609.0,1828.0,1787.0,1448.45263671875,1.0,0.0,0.0,0.0,1668050652.40863
480189202.0,1828.0,1787.0,1449.026123046875,1.0,0.0,0.0,0.0,1668050652.508223
480289227.0,1828.0,1787.0,1449.5972900390625,1.0,0.0,0.0,0.0,1668050652.608248
480389253.0,1828.0,1787.0,1450.089111328125,1.0,0.0,0.0,0.0,1668050652.708274
480489250.0,1828.0,1787.0,1450.380126953125,1.0,0.0,0.0,0.0,1668050652.808271
480589346.0,1828.0,1787.0,1450.6929931640625,1.0,0.0,0.0,0.0,1668050652.908367
480689206.0,1828.0,1787.0,1451.119873046875,1.0,0.0,0.0,0.0,1668050653.0082269
480789061.0,1828.0,1787.0,1451.549072265625,1.0,0.0,0.0,0.0,1668050653.108082
480889320.0,1828.0,1787.0,1451.93408203125,1.0,0.0,0.0,0.0,1668050653.208341
480989367.0,1828.0,1787.0,1452.1214599609375,1.0,0.0,0.0,0.0,1668050653.308388
481089182.0,1828.0,1787.0,1452.1485595703125,1.0,0.0,0.0,0.0,1668050653.408203
481189332.0,1828.0,1787.0,1452.051025390625,1.0,0.0,0.0,0.0,1668050653.508353
481289406.0,1828.0,1787.0,1451.8173828125,1.0,0.0,0.0,0.0,1668050653.608427
481389175.0,1828.0,1787.0,1451.54443359375,1.0,0.0,0.0,0.0,1668050653.708196
481489273.0,1828.0,1787.0,1451.2645263671875,1.0,0.0,0.0,0.0,1668050653.808294
481589282.0,1828.0,1787.0,1451.0087890625,1.0,0.0,0.0,0.0,1668050653.908303
481689229.0,1828.0,1787.0,1450.7454833984375,1.0,0.0,0.0,0.0,1668050654.00825
481789784.0,1828.0,1787.0,1450.4439697265625,1.0,0.0,0.0,0.0,1668050654.108805
481889509.0,1828.0,1787.0,1450.0589599609375,1.0,0.0,0.0,0.0,1668050654.20853
481989214.0,1828.0,1787.0,1449.546630859375,1.0,0.0,0.0,0.0,1668050654.308235
482089264.0,1828.0,1787.0,1449.0501708984375,1.0,0.0,0.0,0.0,1668050654.408285
482189361.0,1828.0,1787.0,1448.49169921875,1.0,0.0,0.0,0.0,1668050654.508382
482289259.0,1828.0,1787.0,1447.9814453125,1.0,0.0,0.0,0.0,1668050654.60828
482389307.0,1828.0,1787.0,1447.59521484375,1.0,0.0,0.0,0.0,1668050654.708328
482489316.0,1828.0,1787.0,1447.2828369140625,1.0,0.0,0.0,0.0,1668050654.808337
482589249.0,1828.0,1787.0,1447.1192626953125,1.0,0.0,0.0,0.0,1668050654.90827
482689234.0,1828.0,1787.0,1446.8834228515625,1.0,0.0,0.0,0.0,1668050655.008255
482789866.0,1828.0,1787.0,1446.639404296875,1.0,0.0,0.0,0.0,1668050655.108887
482889225.0,1828.0,1787.0,1446.387451171875,1.0,0.0,0.0,0.0,1668050655.208246
482989207.0,1828.0,1787.0,1446.0660400390625,1.0,0.0,0.0,0.0,1668050655.308228
483089283.0,1828.0,1787.0,1445.9091796875,1.0,0.0,0.0,0.0,1668050655.408304
483189192.0,1828.0,1787.0,1445.8809814453125,1.0,0.0,0.0,0.0,1668050655.508213
483289267.0,1828.0,1787.0,1445.838134765625,1.0,0.0,0.0,0.0,1668050655.608288
483389070.0,1828.0,1787.0,1445.7811279296875,1.0,0.0,0.0,0.0,1668050655.708091
483489383.0,1828.0,1787.0,1445.6640625,1.0,0.0,0.0,0.0,1668050655.808404
483589245.0,1828.0,1787.0,1445.5660400390625,1.0,0.0,0.0,0.0,1668050655.908266
483689407.0,1828.0,1787.0,1445.4864501953125,1.0,0.0,0.0,0.0,1668050656.008428
483789000.0,1828.0,1787.0,1445.5177001953125,1.0,0.0,0.0,0.0,1668050656.108021
483889238.0,1828.0,1787.0,1445.5943603515625,1.0,0.0,0.0,0.0,1668050656.208259
483989348.0,1828.0,1787.0,1445.7149658203125,1.0,0.0,0.0,0.0,1668050656.308369
484089231.0,1828.0,1787.0,1445.9400634765625,1.0,0.0,0.0,0.0,1668050656.408252
484189209.0,1828.0,1787.0,1446.0345458984375,1.0,0.0,0.0,0.0,1668050656.50823
484289371.0,1828.0,1787.0,1446.09521484375,1.0,0.0,0.0,0.0,1668050656.608392
484389191.0,1828.0,1787.0,1446.1539306640625,1.0,0.0,0.0,0.0,1668050656.708212
484489247.0,1828.0,1787.0,1446.2109375,1.0,0.0,0.0,0.0,1668050656.808268
484589290.0,1828.0,1787.0,1446.2969970703125,1.0,0.0,0.0,0.0,1668050656.908311
484689268.0,1828.0,1787.0,1446.3031005859375,1.0,0.0,0.0,0.0,1668050657.008289
484789071.0,1828.0,1787.0,1446.40185546875,1.0,0.0,0.0,0.0,1668050657.108092
484889232.0,1828.0,1787.0,1446.5284423828125,1.0,0.0,0.0,0.0,1668050657.208253
484989222.0,1828.0,1787.0,1446.7747802734375,1.0,0.0,0.0,0.0,1668050657.308243
485089253.0,1828.0,1787.0,1447.19921875,1.0,0.0,0.0,0.0,1668050657.408274
